,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES (Pop-based),D_PBT,D_Population based,D_Gradient based,D_SMAC,D_TPE,D_BO-Gaussian Processes,D_BO-MTBO,D_BO-BOHAMIANN,D_BO - DNGO,D_SHA,D_HB-Hyperband,D_ASHA,D_BO-Fabolas,D_BOHB,D_HB-LCNet,D_Approximation based,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
20,20,,,,no,Predictive Quality,,<150,,,1,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
21,21,,,,yes,Predictive Quality,,<150,<1000,,8,<500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
22,22,,,,yes,Predictive Quality,,<150,>1000,,8,>500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
23,23,,,,yes,Predictive Quality,,<600,,,8,<6000,XGBoost,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, discrete, nominal]",,Tabular Data,Sensor System Production,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
24,24,,,,yes,Predictive Quality,,<600,,,8,<7000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,Sensor System Production,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
25,25,,,low,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
26,26,,,medium:high,,Predictive Maintenance,,,,<10,,,,,,,,,,,,,,,,,,,,,,"0,50000",,,,"0,50000",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
27,27,,,medium:high,,Predictive Maintenance,,,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,50000",,"0,50000",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28,28,,,medium:high,yes,Predictive Maintenance,,,,10:100,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
29,29,,,medium:high,no,Predictive Maintenance,,>200,,10:100,,,,,,,,,,,,,,,,,,,,,,"0,50000",,,,"0,50000",,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
30,30,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,>10,yes,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
31,31,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,>10,no,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
32,32,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
33,33,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
34,34,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",yes,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
35,35,,,,no,Predictive Maintenance,,,<40,,1,<40,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
36,36,,,,no,Predictive Maintenance,,,40:700,,1,40:700,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,25000",,,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
37,37,,,,no,Predictive Maintenance,,,700:2000,,1,700:2000,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
38,38,,,,no,Predictive Maintenance,,,<1000,,1,<1000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
39,39,,,,no,Predictive Maintenance,,,1000:10000,,1,1000:10000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
40,40,,,,no,Predictive Maintenance,,,10000:70000,,1,10000:70000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
41,41,,,,no,Predictive Maintenance,,,<50,,1,<50,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
42,42,,,,no,Predictive Maintenance,,,50:2000,,1,50:2000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,"0,25000",,,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
43,43,,,,no,Predictive Maintenance,,,<100,,1,<100,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
44,44,,,,no,Predictive Maintenance,,,100:10000,,1,100:10000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,,"1,00000",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
45,45,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,,,,,,,"0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
46,46,,,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,,,,"0,25000","0,25000",,,,,,"0,25000",,,"0,25000",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
47,47,,,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,"0,16667","0,16667",,,,,"0,16667","0,16667",,,,,,"0,16667",,,"0,16667",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
48,48,,,,,,low,,,,,<86400,,,,,,,,,,,,,,,,,,,,"0,33333",,,,,,,,,,,,,"0,33333",,,"0,33333",,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
49,49,,,,,Process Parameter Prediction,,,<200,,1,<200,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,"1,00000",,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
50,50,,,,,Process Parameter Prediction,,,200:2000,,1,200:2000,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,33333",,,,,,"0,33333","0,33333",,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
51,51,,,,,Process Parameter Prediction,,,>2000,,1,>2000,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
52,52,,,,,Process Parameter Prediction,,,<2000,,1,<2000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
53,53,,,,,Process Parameter Prediction,,,2000:5000,,1,2000:5000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
54,54,,,,,Process Parameter Prediction,,,5000:10000,,1,5000:10000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,,"1,00000",,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
55,55,,,,,Process Parameter Prediction,,,>10000,,1,>10000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
56,56,,,,,,,<2,,36000,1,<72000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,wikipedia articles,,,,,,Offline,Text,Text,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
57,57,,,,,,,2:10,,36000,1,72000:360000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,wikipedia articles,,,,,,Offline,Text,Text,,,,,,,,"0,50000",,"0,50000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
58,58,,,,,,,>10,,36000,1,>360000,Latent Dirichlet Allocation (HPOlib),,,yes,"[1, 2, 3]",no,[continuous],,Text Data,wikipedia articles,,,,,,Offline,Text,Text,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
59,59,,,,,,,<2,,60,1,<120,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
60,60,,,,,,,2:50,,60,1,120:3000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
61,61,,,,,,,>50,,60,1,>3000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,"0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263","0,05263",,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
62,62,,,,,,,<10,,60,1,<600,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
63,63,,,,,,,10:100,,60,1,600:6000,Logistic Regression,,,yes,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Image Data,MNIST (OpenML),1000:100000,<1,,,,Offline,Multiclass Classification,Image Recognition,,,,,,,,,,"1,00000",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
