,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature datatypes,A_Number of features,A_Noise in dataset,A_Training technique,A_ML task,A_Detailed ML task,D_DT,D_RF,D_KNN,D_EN,D_LogReg,D_SVM,D_NB,D_XGB,D_MLP,D_DNN,D_CNN,D_LSTM,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature datatypes,del_Number of features,del_Noise in dataset,del_Training technique,del_ML task,del_Detailed ML task,Antecedent_Importance
23,1,,,,,,,,,,,,,,>43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,0.14,,,,0.14,,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,1.3,,,,,,,,0.7000000000000001,,Detailed ML task_AI:_1
24,1,,,yes,,,,,,,,,,,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.5,,,,0.5,,,,,,,,,,1.3146067415730338,,,,,,,,,,,0.8764044943820225,,,,,,,,0.8089887640449439,,
25,1,,,no,,,,,,,,,,,1.0:43200,,>100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,,1.00,,,,,,,,0.7839195979899498,,,,,,,,,,,0.6532663316582915,,1.9597989949748744,,,,,,0.6030150753768845,,
26,1,,,no,,,,,,,,,,,1.0:43200,,<100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,0.5,0.50,,,,,,,,0.6738660907127432,,,,,,,,,,,0.5615550755939526,,2.2462203023758103,,,,,,0.5183585313174948,,
27,1,low,"{'low':1.0, 'medium':1.0}",,,,,,,,,,,,,,,,,,,,,,0.2000,0.2000,,0.2000,0.2000,,,0.2000,,,,,0.4,1.6,,,,,,,,,,,,,,,,,,,,,,
28,1,,high,no,no,no,no,,,,Predictive Quality,,,,>43200,Image data,1000.0:100000,1.0:4,,<10,,,Object Detection,Object Detection,,,,,,,,,,,1.0000,,,0.5751303523463421,0.17253910570390266,0.8626955285195134,0.8626955285195134,0.5751303523463421,,,,0.8626955285195134,,,,0.24648443671986092,0.21567388212987834,1.7253910570390267,1.7253910570390267,,1.7253910570390267,,,1.7253910570390267,1.7253910570390267,
29,1,,high,no,no,no,no,,,,Predictive Quality,,,,>43200,Tabular data,>100000,,"[continuous, discrete, nominal, timestamp]",>1000,,,Binary Classification,Part Failure,,,,,,,,1.0000,,,,,,0.7780079576469041,0.23340238729407126,1.1670119364703562,1.1670119364703562,0.7780079576469041,,,,1.1670119364703562,,,,0.3334319818486732,0.17954029791851633,0.5835059682351781,,1.1670119364703562,2.3340238729407123,,,0.7780079576469041,2.3340238729407123,
30,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,0.25,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
32,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.2,0.07,0.1,0.2,0.1,0.07,0.2,0.07,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.333333333,0.333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,1,,,yes,,,,,,,,,,,,,,,,,,,,,0.35,,0.25,0.15,0.05,0.05,0.15,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,1,,,,yes,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5000,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,1,,,,yes,,,,,,,,,,,,,,,,,,,,,0.2500,0.2500,0.2500,,,,,0.2500,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
39,1,,,,yes,,,,,,,,,,,,,,,,,,,,,,,0.7500,,,0.2500,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
40,1,,,,yes,,,,,,,,,,,,,,,,,,,,,0.5,0.50,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
41,1,,low,,,,,Default values,,,,,,,,,,,,,,,,,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.1111,0.1111,,0.1111,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
42,1,,low,,,,,Default values,,,,,,,,,,,,,,,,,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,,0.1250,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
43,1,,low,,,,,Default values,,,,,,,,,,,,,,,,,0.2000,0.2000,,0.2000,0.2000,0.2000,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
45,1,,,,,,,,,,,,,,0,,,,,,,,,,,0.5,,,,,,0.5000,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
46,1,,,,,,,,,,,,,,0,,,,,,,,,,0.1110,0.1110,0.1110,0.1110,0.1110,0.1110,0.1110,0.1110,0.1110,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
47,1,,,,,,,,,yes,,,,>1,1.0:172800,,,,,,,,,,,0.2500,,,,0.2500,0.2500,0.2500,,,,,,,,,,,,,0.4153846153846154,,,,0.6461538461538462,1.9384615384615387,,,,,,,,,,
48,1,,,,,,,,,yes,,,,>1,1.0:172800,,,,,,,,,,0.0909,0.090909091,0.09,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,,,0.0909,,,,,,,,,0.4153846153846154,,,,0.6461538461538462,1.9384615384615387,,,,,,,,,,
49,1,,,,,,,,,yes,,,,>1,1.0:172800,,,,,,,,,,,0.5,,,,,,0.5000,,,,,,,,,,,,,0.4153846153846154,,,,0.6461538461538462,1.9384615384615387,,,,,,,,,,
50,1,,,,,,,,,yes,,,,>1,>7200,,,,,,,,,,,0.3333,,,,,,0.3333,0.3333,,,,,,,,,,,,0.696774193548387,,,,1.0838709677419354,1.2193548387096773,,,,,,,,,,
51,1,,,,,,,,,yes,,,,>1,>7200,,,,,,,,,,,,,,,0.5000,,,,0.5000,,,,,,,,,,,0.696774193548387,,,,1.0838709677419354,1.2193548387096773,,,,,,,,,,
52,1,,,,,,,,,yes,,,,>1,>7200,,,,,,,,,,0.0833,0.083333333,0.08,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0,0,0.0833,,,,,,,,,0.696774193548387,,,,1.0838709677419354,1.2193548387096773,,,,,,,,,,
53,1,,,,,,,,,yes,,,,>1,>7200,,,,,,,,,,,,,,,0.25,,0.25,,0.25,0.25,,,,,,,,,,0.696774193548387,,,,1.0838709677419354,1.2193548387096773,,,,,,,,,,
54,1,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,0.6,,,,,1.4,,,,,,,,,,
55,1,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,0.6,,,,,1.4,,,,,,,,,,
56,1,,,,,,,,,no,,,,,1.0:7200,,,,,,,,,,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,,,,,,,,,,,,,0.6,,,,,1.4,,,,,,,,,,
57,1,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,,0.333333333,0.333333333,,,,,,,,,,,,1.0666666666666667,,,,,0.9333333333333333,,,,,,,,,,
58,1,,,,,,,,,no,,,,,>7200,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,1.0666666666666667,,,,,0.9333333333333333,,,,,,,,,,
59,1,,,,,,,,,no,,,,,>7200,,,,,,,,,,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,,,,,,,,,1.0666666666666667,,,,,0.9333333333333333,,,,,,,,,,
60,1,,,,,,,,,no,,,,,>7200,,,,,,,,,,,0.333333333,,,,,0.33,,0.33,,,,,,,,,,,,1.0666666666666667,,,,,0.9333333333333333,,,,,,,,,,
61,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
62,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
63,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
64,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
65,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,0.5000,0.5000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
66,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
67,1,,,,,,,,,,,,,,,Image data,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,1.0,,,,,,,,,
68,1,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,1.0,,,,,,,,,
69,1,,,,,,,,,,,,,,,Tabular data,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
70,1,,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,0.0909,,0.0909,,,,,,,,,,,,,,,1.0,,,,,,,,,
71,1,,,,,,,,,,,,,,,Tabular data,,,"[continuous, discrete, nominal, timestamp]",,,,,Time Series Prediction,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,0.31034482758620696,,,2.017241379310345,,,,,0.6724137931034484,
72,1,low,,,,,,,,,,,,,,Tabular data,,,,,,,,,0.166666667,,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,1.5294117647058822,,,,,,,,,,,,,,0.47058823529411764,,,,,,,,,
73,1,high,,,,,,,,,,,,,,Tabular data,,,,,,,,,,,,,,,,1,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
74,1,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,1.0,
75,1,,,,,,,,,,,,,,,,,,,,,,,Time Series Prediction,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,1.0,
76,1,high,medium,no,,,yes,,Windows,yes,,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,0.25,0.25,,,,,,0.25,,,,0.25,0.4341646207520352,1.1288280139552915,0.5644140069776458,,,1.1288280139552915,,1.4110350174441144,0.4031528621268898,,,1.8813800232588191,,1.8813800232588191,0.4341646207520352,1.4110350174441144,0.9406900116294096,0.9406900116294096,0.8063057242537796,1.1288280139552915,,0.5644140069776458,0.9406900116294096,
77,1,low,medium,no,,,yes,,Windows,yes,,,,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,no,,Binary Classification,Time Series Prediction,,0.3,,,0.3,,,0.3,,,,,0.9474780194354466,0.7579824155483573,0.37899120777417866,,,0.7579824155483573,,0.9474780194354466,0.27070800555298474,,,,,1.2633040259139288,0.29153169828782977,1.8949560388708933,0.6316520129569644,0.6316520129569644,0.5414160111059695,3.7899120777417865,,1.2633040259139288,0.6316520129569644,
78,1,low,medium,no,,,yes,,Windows,yes,,,,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,1.2036278893997605,0.9629023115198085,0.48145115575990427,,,0.9629023115198085,,1.2036278893997605,0.34389368268564585,,,,,1.6048371858663473,0.3703470428922341,1.2036278893997605,0.8024185929331736,0.8024185929331736,0.6877873653712917,0.9629023115198085,,2.407255778799521,,
79,1,high,medium,no,,,yes,,linux,yes,,,,,7200.0:172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Multiclass Classification,,,0.5,,,,,,0.5,,,,,0.30903452987859364,0.8034897776843435,0.40174488884217174,,,0.8034897776843435,,4.0174488884217165,0.2869606348872655,,,,,1.3391496294739056,0.30903452987859364,1.0043622221054291,0.6695748147369528,0.6695748147369528,0.573921269774531,0.8034897776843435,,2.0087244442108583,,
80,1,high,medium,no,,,no,,Windows,yes,,,>200,,7200.0:172800,Tabular data,1000.0:10000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Binary Classification,,0.14,0.14,0.14,,0.14,0.14,,0.14,0.14,,,,0.35126846947309737,0.913298020630053,0.4566490103150265,,,1.522163367716755,,1.1416225257875663,0.3261778645107332,,,1.522163367716755,,1.522163367716755,0.35126846947309737,2.2832450515751326,0.7610816838583775,0.7610816838583775,0.6523557290214664,0.913298020630053,,1.522163367716755,,
81,1,high,high,no,,,yes,,Linux,yes,,,>200,,>172800,Tabular data,>1000000,2.0:9,"[continuous, discrete, nominal]",<100,yes,,Regression,Time Series Prediction,,0.33,,,,0.33,,0.33,,,,,0.33101817644451015,1.4344120979262105,0.4303236293778632,,,0.8606472587557265,,4.303236293778632,0.307374020984188,,,1.4344120979262105,,1.4344120979262105,0.33101817644451015,1.075809073444658,0.7172060489631052,0.7172060489631052,0.614748041968376,0.8606472587557265,,0.4303236293778632,0.7172060489631052,
82,1,,,,,,,Default values,,,,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
