,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
33,33,,,medium:high,no,Predictive Maintenance,<200,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,0.7662691238314296,0.28735092143678614,0.3448211057241434,0.8620527643103584,0.9852031592118381,,,,,,,1.3792844228965735,0.07578485840091063,3.4482110572414335,,,,,,,,,,,
34,34,,,medium:high,no,Predictive Maintenance,<200,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",yes,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,1.9878827784144117,0.7454560419054044,0.8945472502864854,2.2363681257162136,2.555849286532815,,,,,,,3.5781890011459416,0.7454560419054044,,,,,,,,,,,,
35,35,,,,no,Predictive Maintenance,,,1,<40,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.17756930063862475,0.21308316076634973,,,0.07748478573321807,4.261663215326994,0.30440451538049956,,,,0.06360691366159693,0.04683146390469225,0.8523326430653989,,0.10146817179349986,0.06556404946656914,0.12176180615219982,0.2663539509579371,0.30440451538049956,,0.03945984458636106,0.17756930063862475,0.2663539509579371,
36,36,,,,no,Predictive Maintenance,,,1,40:700,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,25000",,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,,0.17756930063862475,0.21308316076634973,,,0.07748478573321807,4.261663215326994,0.30440451538049956,,,,0.06360691366159693,0.04683146390469225,0.8523326430653989,,0.10146817179349986,0.06556404946656914,0.12176180615219982,0.2663539509579371,0.30440451538049956,,0.03945984458636106,0.17756930063862475,0.2663539509579371,
37,37,,,,no,Predictive Maintenance,,,1,700:2000,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.17756930063862475,0.21308316076634973,,,0.07748478573321807,4.261663215326994,0.30440451538049956,,,,0.06360691366159693,0.04683146390469225,0.8523326430653989,,0.10146817179349986,0.06556404946656914,0.12176180615219982,0.2663539509579371,0.30440451538049956,,0.03945984458636106,0.17756930063862475,0.2663539509579371,
38,38,,,,no,Predictive Maintenance,,,1,<1000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.5513731520372761,0.6616477824447314,,,0.24059919361626597,4.410985216298209,0.6616477824447314,,,,0.19750680072977056,0.14541709504279812,1.4703284054327364,,0.31507037259272924,0.20358393305991737,0.3780844471112751,0.8270597280559143,0.9452111177781877,,0.1225273671193947,0.5513731520372761,0.8270597280559143,
39,39,,,,no,Predictive Maintenance,,,1,1000:10000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,0.36471475283923577,0.437657703407083,,,0.1591482557843938,4.376577034070829,0.437657703407083,,,,0.13064409056927848,0.09618850624331494,0.972572674237962,,0.208408430193849,0.1346639087406409,0.2500901162326188,0.5470721292588536,0.625225290581547,,0.0810477228531635,0.36471475283923577,0.5470721292588536,
40,40,,,,no,Predictive Maintenance,,,1,10000:70000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,0.17830621935986896,0.21396746323184276,,,0.07780635026612463,4.279349264636855,0.21396746323184276,,,,0.06387088454681873,0.0470258160949105,0.4754832516263172,,0.1018892682056394,0.0658361425328747,0.12226712184676729,0.26745932903980346,0.3056678046169182,,0.039623604302193104,0.17830621935986896,0.26745932903980346,
41,41,,,,no,Predictive Maintenance,,,1,<50,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.16502960793858487,0.19803552952630185,,,0.07201291982774613,3.960710590526037,0.12776485775890442,,,,0.05911508344068712,0.04352429220358283,0.17220480828374074,,0.09430263310776278,0.06093400908501596,0.11316315972931534,,,,0.036673246208574414,0.2640473727017358,0.9901776476315093,
42,42,,,,no,Predictive Maintenance,,,1,50:2000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,"0,25000",,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,,0.16502960793858487,0.19803552952630185,,,0.07201291982774613,3.960710590526037,0.12776485775890442,,,,0.05911508344068712,0.04352429220358283,0.17220480828374074,,0.09430263310776278,0.06093400908501596,0.11316315972931534,,,,0.036673246208574414,0.2640473727017358,0.9901776476315093,
43,43,,,,no,Predictive Maintenance,,,1,<100,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.6362760594247232,0.7635312713096679,,,0.27764773502169743,2.545104237698893,0.7635312713096679,,,,0.6941193375542436,0.16780907061750944,0.47720704456854246,,0.3635863196712704,0.2349326988645132,0.4363035836055245,,,,0.14139467987216073,1.0180416950795572,3.8176563565483397,
44,44,,,,no,Predictive Maintenance,,,1,100:10000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,"1,00000",,,,,,,,,,,,,,,0.1655842727323376,0.19870112727880515,,,0.07225495537411096,3.974022545576103,0.19870112727880515,,,,0.1806373884352774,0.043670577423913226,0.12418820454925322,,0.09461958441847863,0.06113880839347851,0.11354350130217437,,,,0.03679650505163058,0.2649348363717402,0.9935056363940258,
45,45,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,,,,,,,"0,25000",,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,,"0,25000","0,25000",,,,,,"0,25000",,,"0,25000",,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
47,47,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,"0,16667","0,16667",,,,"0,16667","0,16667",,,,,,"0,16667",,,"0,16667",,,,,,,,,,,,,,,,,0.18181818181818182,2.181818181818182,,,,,,,,,,,
48,48,,,,,,,,,<86400,,,,,,,,,,,,,,,,,,,"0,33333",,,,,,,,,,,,"0,33333",,,"0,33333",,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,,
49,49,,,,,Process Parameter Prediction,,,1,<200,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,"1,00000",,,,,,,,,,,,,,,,,,,,,,,0.580266715727407,,,0.07385212745621544,4.0618670100918495,0.5077333762614812,,,0.580266715727407,0.06062488074763954,0.044635901209800544,0.09671111928790117,,0.09671111928790117,0.580266715727407,0.11605334314548141,,,,0.03760987972307268,0.27079113400612326,0.580266715727407,
50,50,,,,,Process Parameter Prediction,,,1,200:2000,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,33333",,,,,"0,33333","0,33333",,,,,,,,,,,,,,,,0.580266715727407,,,0.07385212745621544,4.0618670100918495,0.5077333762614812,,,0.580266715727407,0.06062488074763954,0.044635901209800544,0.09671111928790117,,0.09671111928790117,0.580266715727407,0.11605334314548141,,,,0.03760987972307268,0.27079113400612326,0.580266715727407,
51,51,,,,,Process Parameter Prediction,,,1,>2000,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,,0.580266715727407,,,0.07385212745621544,4.0618670100918495,0.5077333762614812,,,0.580266715727407,0.06062488074763954,0.044635901209800544,0.09671111928790117,,0.09671111928790117,0.580266715727407,0.11605334314548141,,,,0.03760987972307268,0.27079113400612326,0.580266715727407,
52,52,,,,,Process Parameter Prediction,,,1,<2000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,"1,00000",,,,,,,,,,,,,,,,,0.5830025819432696,,,0.07420032861096158,4.081018073602888,0.2915012909716348,,,0.5830025819432696,0.060910717516461,0.04484635245717459,0.453446452622543,,0.09716709699054493,0.5830025819432696,0.11660051638865392,,,,0.037787204385211916,0.2720678715735258,0.5830025819432696,
53,53,,,,,Process Parameter Prediction,,,1,2000:5000,Random Forest,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,>100000,1:4,,,,Offline,Regression,Time Series Prediction,,,,,,,"0,33333","0,33333","0,33333",,,,,,,,,,,,,,,0.5830025819432696,,,0.07420032861096158,4.081018073602888,0.2915012909716348,,,0.5830025819432696,0.060910717516461,0.04484635245717459,0.453446452622543,,0.09716709699054493,0.5830025819432696,0.11660051638865392,,,,0.037787204385211916,0.2720678715735258,0.5830025819432696,
