,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: Availability of a well documented library,A_UR: Computer operating system,A_Hardware: Number of workers/kernels for parallel computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Availability of a warm-start HP configuration,A_Obtainability of gradients,A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Noise in dataset,A_Training Technique,A_ML task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG,D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_FABOLAS,D_BOHB,D_HB-LCNet,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: Availability of a well documented library,del_UR: Computer operating system,del_Hardware: Number of workers/kernels for parallel computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Availability of a warm-start HP configuration,del_Obtainability of gradients,del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Noise in dataset,del_Training Technique,del_ML task,del_Detailed ML task,Antecedent_Importance
23,,,,,,8,Predictive Quality,<600,,1.0:6000,XGBoost,yes,yes,4.0:10,yes,"[continuous, discrete, nominal]",,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.3904552283475262,0.15017508782597164,1.952276141737631,,3.904552283475262,0.4338391426083624,0.1859310611178696,0.12595329946694395,0.055779318335360886,0.15618209133901048,0.169763142759794,,,0.0929655305589348,0.6507587139125437,,,0.033952628551958804,0.15017508782597164,0.24403451771720389,Training Technique_AI:_1
24,,,,,,8,Predictive Quality,<600,,1.0:7000,Random Forest,yes,yes,4.0:10,no,[continuous],,,Tabular Data,<1000,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,0.50000,,,0.50000,,,,,,,0.38733533704717954,0.1489751296335306,1.9366766852358976,,3.8733533704717953,0.2278443159101056,0.184445398593895,0.124946882918445,0.0553336195781685,0.042564322752437316,0.1210422928272436,,,0.0922226992969475,0.6455588950786325,,,0.03368133365627648,0.1489751296335306,0.2420845856544872,ML task_AI:_1
25,,medium,,,,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
26,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,,<10,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.2555660013433986,,,,,0.10952828629002798,,2.3000940120905873,,,,,,,,,,,,,,,,,
27,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00000,,,0.2555660013433986,,,,,0.10952828629002798,,2.3000940120905873,,,,,,,,,,,,,,,,,
28,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,,10.0:100,,,,,,,,,,,,,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,2.806243040080456,,,,,1.2026755886059097,,3.6080267658177294,,,,,,,,,,,,,,,,,
29,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,>200,10.0:100,,,,,,,,,,,,,,,,,,0.50000,,0.25000,0.25000,,,,,,,,,,,,,,,0.28417976285875635,,,,,0.121791326939467,2.557617865728807,0.365373980818401,,,,,,,,,,,,,,,,,
30,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,2.586237663378049,,,,,1.1083875700191639,2.9095173713003053,3.3251627100574916,,,,,0.9310455588160977,0.9310455588160977,,,,,,,,,,,
31,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,<200,10.0:100,,,,,>10,no,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,2.271678498698914,,,,,0.9735764994423917,2.555638311036278,2.920729498327175,,,,,0.8178042595316091,0.22467149987132118,,,,,,,,,,,
32,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,,[continuous],,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,1.9491181488475184,,,,,0.8353363495060794,2.1927579174534584,2.506009048518238,,,,,3.508412667925534,,0.5481894793633646,,,,,,,,,,
33,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,,1.9292482976035232,,,,,0.8268206989729385,2.1704043348039637,2.4804620969188154,,,,,3.4726469356863423,0.19080477668606274,1.578475879857428,,,,,,,,,,
34,,"{'medium': 0.5, 'high': 0.5}",,,,,Predictive Maintenance,<200,10.0:100,,,,,1.0:10,yes,,,,,,,,,,,,,,,,,,1.00000,,,,,,,,,,,,2.0179808212285812,,,,,0.8648489233836778,2.270228423882154,2.5945467701510334,,,,,3.632365478211447,0.7264730956422893,,,,,,,,,,,
35,,,,,,1,Predictive Maintenance,,,1.0:40,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.05666810675438963,0.18349672663326166,,,3.8534312592984947,0.22667242701755852,,,0.055049017989978494,0.04234539845382962,0.770686251859699,,,0.09174836331663083,0.05928355783536146,0.09398612827557305,,0.03350809790694344,0.14820889458840367,0.24083945370615592,
36,,,,,,1,Predictive Maintenance,,,40.0:700,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,,,,,,0.05666810675438963,0.18349672663326166,,,3.8534312592984947,0.22667242701755852,,,0.055049017989978494,0.04234539845382962,0.770686251859699,,,0.09174836331663083,0.05928355783536146,0.09398612827557305,,0.03350809790694344,0.14820889458840367,0.24083945370615592,
37,,,,,,1,Predictive Maintenance,,,700.0:2000,Random Forest,,,4.0:10,no,"[discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.05666810675438963,0.18349672663326166,,,3.8534312592984947,0.22667242701755852,,,0.055049017989978494,0.04234539845382962,0.770686251859699,,,0.09174836331663083,0.05928355783536146,0.09398612827557305,,0.03350809790694344,0.14820889458840367,0.24083945370615592,
38,,,,,,1,Predictive Maintenance,,,1.0:1000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.17505493345383902,0.5668445464219549,,,3.967911824953684,0.5951867737430527,,,0.17005336392658646,0.13081027994352806,1.3226372749845614,,,0.28342227321097746,0.1831343919209393,0.29033501158197694,,0.10351074325966134,0.45783597980234825,0.7439834671788158,
39,,,,,,1,Predictive Maintenance,,,1000.0:10000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,,0.11594578113459138,0.375443481769153,,,3.9421565585761065,0.3942156558576107,,,0.11263304453074591,0.08664080348518917,0.8760347907946904,,,0.1877217408845765,0.12129712487926483,0.1923003199305418,,0.06855924449697577,0.30324281219816207,0.4927695698220133,
40,,,,,,1,Predictive Maintenance,,,10000.0:70000,Support Vector Machine,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,0.50000,0.50000,,,,,,,,,,,,,,,0.056879792524898665,0.1841821853187195,,,3.8678258916931094,0.19339129458465548,,,0.05525465559561585,0.04250358122739681,0.42975843241034545,,,0.09209109265935975,0.05950501371835553,0.09433721687056365,,0.033633268623418346,0.14876253429588882,0.24173911823081934,
41,,,,,,1,Predictive Maintenance,,,1.0:50,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.056201174972973375,0.18198475705534237,,,3.8216798981621896,0.12327999671490934,,,0.05459542711660271,0.0419964823973867,0.1661599955722691,,,0.09099237852767118,0.05879507535634138,0.09321170483322413,,0.03323199911445383,0.2123155498978994,0.9554199745405474,
42,,,,,,1,Predictive Maintenance,,,50.0:2000,Multilayer Perceptron,,,4.0:10,no,"[continuous, discrete, nominal]",,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,0.25000,,,,,0.25000,0.25000,0.25000,,,,,,,,,,,,,,,0.056201174972973375,0.18198475705534237,,,3.8216798981621896,0.12327999671490934,,,0.05459542711660271,0.0419964823973867,0.1661599955722691,,,0.09099237852767118,0.05879507535634138,0.09321170483322413,,0.03323199911445383,0.2123155498978994,0.9554199745405474,
43,,,,,,1,Predictive Maintenance,,,1.0:100,Support Vector Machine,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.21556375894616672,0.6980159813494922,,,2.4430559347232226,0.732916780416967,,,0.5863334243335735,0.16108061108065208,0.4580729877606043,,,0.3490079906747461,0.2255128555129129,0.35752038069120334,,0.12746378789860294,0.8143519782410743,3.6645839020848343,
44,,,,,,1,Predictive Maintenance,,,100.0:10000,Support Vector Machine,,,1.0:3,no,[continuous],,,Tabular Data,1000.0:100000,1.0:4,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,1.00000,,,,,,,,,,,,,,,,0.056376823532116094,0.18255352381828066,,,3.8336240001838946,0.19168120000919472,,,0.15334496000735579,0.04212773626575708,0.1198007500057467,,,0.09127676190914033,0.05897883077205992,0.09350302439472913,,0.0333358608711643,0.21297911112132745,0.9584060000459736,
45,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25000,0.25000,0.25000,,,,,,,,0.25000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,0.25000,0.25000,,,,,,0.25000,,,0.25000,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
47,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,0.16667,0.16667,,,,0.16667,0.16667,,,,,,0.16667,,,0.16667,,,,,,,,,,,,,,,,1.5714285714285714,3.5714285714285716,,,,,,,,,,
48,,,,,,,,,,1.0:86400,,,,,,,,,,,,,,,,,0.33333,,,,,,,,,,,,0.33333,,,0.33333,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,
49,,,,,,1,Process Parameter Prediction,,,1.0:200,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,1.00000,,,,,,,,,,,,,,,,,,,,,,,0.05737405574202022,0.433492865606375,,,3.9014357904573753,0.433492865606375,,,0.05573479700653393,0.042872920774256876,0.09289132834422321,,,0.09289132834422321,0.39014357904573754,0.09515697049896038,,0.033925528612672826,0.2167464328031875,0.3546759809506705,
50,,,,,,1,Process Parameter Prediction,,,200.0:2000,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.33333,,,,,0.33333,0.33333,,,,,,,,,,,,,,,,0.05737405574202022,0.433492865606375,,,3.9014357904573753,0.433492865606375,,,0.05573479700653393,0.042872920774256876,0.09289132834422321,,,0.09289132834422321,0.39014357904573754,0.09515697049896038,,0.033925528612672826,0.2167464328031875,0.3546759809506705,
51,,,,,,1,Process Parameter Prediction,,,>2000,XGBoost,,,4.0:10,no,"[continuous, discrete]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.05737405574202022,0.433492865606375,,,3.9014357904573753,0.433492865606375,,,0.05573479700653393,0.042872920774256876,0.09289132834422321,,,0.09289132834422321,0.39014357904573754,0.09515697049896038,,0.033925528612672826,0.2167464328031875,0.3546759809506705,
52,,,,,,1,Process Parameter Prediction,,,1.0:2000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.057568597262688405,0.43496273487364573,,,3.914664613862812,0.23027438905075362,,,0.05592378019804017,0.0430182924600309,0.43496273487364573,,,0.09320630033006694,0.3914664613862812,0.09547962472836126,,0.034040561859676625,0.21748136743682286,0.3558786012602556,
53,,,,,,1,Process Parameter Prediction,,,2000.0:5000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,0.33333,0.33333,0.33333,,,,,,,,,,,,,,,0.057568597262688405,0.43496273487364573,,,3.914664613862812,0.23027438905075362,,,0.05592378019804017,0.0430182924600309,0.43496273487364573,,,0.09320630033006694,0.3914664613862812,0.09547962472836126,,0.034040561859676625,0.21748136743682286,0.3558786012602556,
54,,,,,,1,Process Parameter Prediction,,,5000.0:10000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,,,,,,1.00000,,,,,,,,,,,,,,,,,0.057568597262688405,0.43496273487364573,,,3.914664613862812,0.23027438905075362,,,0.05592378019804017,0.0430182924600309,0.43496273487364573,,,0.09320630033006694,0.3914664613862812,0.09547962472836126,,0.034040561859676625,0.21748136743682286,0.3558786012602556,
55,,,,,,1,Process Parameter Prediction,,,>10000,Random Forest,,,4.0:10,no,"[continuous, nominal]",,,Tabular Data,>100000,1.0:4,,Offline,Regression,Time Series Prediction,,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,0.05882,,,,,,0.057568597262688405,0.43496273487364573,,,3.914664613862812,0.23027438905075362,,,0.05592378019804017,0.0430182924600309,0.43496273487364573,,,0.09320630033006694,0.3914664613862812,0.09547962472836126,,0.034040561859676625,0.21748136743682286,0.3558786012602556,
56,,,,,,1,,<2,36000,1.0:72000,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[continuous],,,Text Data,,,,Offline,Text,Text,,,,,,,,,1.00000,,,,,,,,,,,,,,,0.055757944239999774,,0.9478850520799962,1.2638467361066617,3.7915402083199847,0.9478850520799962,,,0.1516616083327994,0.04166527701450533,0.11848563150999952,,,0.9478850520799962,,,,0.03296991485495639,0.9478850520799962,1.2638467361066617,
57,,,,,,1,,2.0:10,36000,72000.0:360000,Latent Dirichlet Allocation (HPOlib),,,1.0:3,no,[continuous],,,Text Data,,,,Offline,Text,Text,,,,,,,0.50000,,0.50000,,,,,,,,,,,,,,,0.043383769177555785,,2.9500963040737935,0.9833654346912645,2.9500963040737935,0.7375240760184484,,,0.11800385216295174,0.032418640704107625,0.09219050950230605,,,0.7375240760184484,,,,0.025653011339772117,0.7375240760184484,0.9833654346912645,
