,A_rule_id,A_rule_weight,A_UR: quality demands,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_HP datatypes,A_Obtainability of gradients,A_Input Data,A_Dataset (name),A_#Instances training dataset,A_Ratio training to test dataset,A_Dataset balance,A_Ratio positive to negative targets,A_Noise in dataset,A_Training Technique,A_ML Task,A_Detailed ML task,D_Default Values,D_Random Search,D_Grid Search,D_CMA-ES,D_PBT,D_HOAG (Gradient based),D_SMAC,D_TPE,D_GPBO,D_MTBO,D_BOHAMIANN,D_DNGO,D_SHA,D_HB,D_ASHA,D_Fabolas,D_BOHB,D_HB-LCNet,del_rule_id,del_rule_weight,del_UR: quality demands,del_User's programming ability,del_Access to parallel computing,del_Production use case,del_Time Resources,del_Number of maximum function evaluations/ trials budget,del_Wall Clock Time [s],del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Machine Learning Algorithm,del_Obtainability of good approximate,del_Supports parallel evaluations,del_Usage of one-hot encoding for cat. features,del_Dimensionality of HPs,del_Conditional HP space,del_HP datatypes,del_Obtainability of gradients,del_Input Data,del_Dataset (name),del_#Instances training dataset,del_Ratio training to test dataset,del_Dataset balance,del_Ratio positive to negative targets,del_Noise in dataset,del_Training Technique,del_ML Task,del_Detailed ML task,Antecedent_Importance
11,11,,high,high,,Predictive Quality,low,>100,,,,<86400,,no,no,,,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.0757209238567433,2.1514418477134867,,0.627503872249767,1.0757209238567433,3.012018586798882,,,,1.0757209238567433,,1.673343659332712,2.510015488999068,,,,3.765023233498602,3.012018586798882,,,,,,,,,,,Machine Learning Algorithm_AI:_1
12,12,,high,high,,Predictive Quality,low,<100,,,,<86400,,no,no,,,,,no,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.371243617068881,2.742487234137762,,0.7998921099568473,1.371243617068881,3.1995684398273894,,,,1.371243617068881,,2.133045626551593,3.1995684398273894,,,,,3.8394821277928677,,,,,,,,,,,Obtainability of good approximate_AI:_1
13,13,,high,high,,Predictive Quality,low,,,,,<86400,,no,yes,,>10,,"[discrete, ordinal, nominal]",no,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,1.0318685065384792,2.0637370130769583,,0.6019232954807796,1.0318685065384792,,,,,1.0318685065384792,,1.6051287879487455,0.5159342532692396,,0.5778463636615484,,3.6115397728846776,2.889231818307742,,,,,,,,,,,Supports parallel evaluations_AI:_1
14,14,,high,high,,Predictive Quality,low,,,,,<86400,,no,yes,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],no,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,1.1803919340554263,2.3607838681108526,,0.6885619615323321,1.1803919340554263,,,,,1.1803919340554263,,1.8361652307528855,0.5901959670277132,,3.305097415355194,,0.5164214711492491,3.305097415355194,,,,,,,,,,,Usage of one-hot encoding for cat. features_AI:_1
15,15,,,,yes,Predictive Quality,,<150,"<12,5",,8,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.16265178972015598,0.20331473715019496,,0.6099442114505849,4.879553691604679,,0.48795536916046794,0.8132589486007799,0.3485395494003342,0.4435957901458799,0.1742697747001671,,0.07282915957618924,0.05362146913851296,0.15248605286264622,,0.1161798498001114,0.3485395494003342,0.07507005679391815,0.13941581976013367,0.30497210572529243,0.3485395494003342,,0.04518105270004332,0.20331473715019496,0.30497210572529243,Dimensionality of HPs_AI:_1
16,16,,,,yes,Predictive Quality,,<150,"12,5:500",,8,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.15036724995669962,0.18795906244587451,,0.5638771873376236,4.511017498700989,,0.4511017498700989,2.2555087493504944,0.3222155356214992,0.41009249988190805,0.1611077678107496,,0.06732861938359684,0.04957162086484603,0.1409692968344059,,0.10740517854049972,0.3222155356214992,0.06940026921078445,0.12888621424859967,0.2819385936688118,0.3222155356214992,,0.04176868054352767,0.18795906244587451,0.2819385936688118,Conditional HP space_AI:_1
17,17,,,,no,Predictive Quality,,<150,<100,,1,<100,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.5848573625082243,0.5848573625082243,,1.7545720875246729,4.678858900065794,,0.25521048545813424,2.339429450032897,1.00261262144267,1.2760524272906713,0.501306310721335,,0.20950114477906542,0.15424809560656466,0.4386430218811682,,0.3342042071475567,1.00261262144267,0.21594733384919051,0.4010450485770681,0.8772860437623364,1.00261262144267,,0.1299683027796054,0.5848573625082243,0.8772860437623364,HP datatypes_AI:_1
18,18,,,,no,Predictive Quality,,<150,100:4000,,1,100:4000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.18725388471661292,0.18725388471661292,,0.5617616541498388,4.4940932331987105,,0.08171078605815836,2.2470466165993552,0.32100665951419355,0.40855393029079184,0.16050332975709677,,0.0670760184059509,0.04938563992526056,0.1404404135374597,,0.10700221983806452,0.32100665951419355,0.06913989589536478,0.12840266380567744,0.2808808270749194,0.32100665951419355,,0.04161197438146954,0.18725388471661292,0.2808808270749194,Obtainability of gradients_AI:_1
19,19,,,,yes,Predictive Quality,,<150,,,8,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.31960261903265574,0.3995032737908197,,1.1985098213724592,,,0.9588078570979673,1.5980130951632787,4.794039285489837,0.8716435064526976,0.3424313775349883,,0.4358217532263488,0.10536350077999641,0.2996274553431148,,0.22828758502332552,0.6848627550699766,0.14750890109199497,0.27394510202799066,0.5992549106862296,0.6848627550699766,,0.08877850528684882,0.3995032737908197,0.5992549106862296,Input Data_AI:_1
20,20,,,,no,Predictive Quality,,<150,,,1,<100,Decision Tree,yes,yes,,"[1, 2, 3]",no,[continuous],,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,"1,00000",,,,,,,,,,,,,,,,,,,0.3974943620960653,0.3974943620960653,,1.1924830862881959,,,0.17345208527828304,1.5899774483842612,4.7699323451527835,0.8672604263914152,0.3407094532251988,,0.4336302131957076,0.1048336779154458,0.29812077157204897,,0.22713963548346588,0.6814189064503976,0.1467671490816241,0.2725675625801591,0.5962415431440979,0.6814189064503976,,0.08833208046579229,0.3974943620960653,0.5962415431440979,Dataset (name)_AI:_1
21,21,,,,yes,Predictive Quality,,<150,<1000,,8,<500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.1618523019416674,0.20231537742708422,,0.6069461322812527,1.2138922645625054,,0.4855569058250022,4.855569058250022,0.2427784529125011,0.5395076731388913,0.17341318065178649,,0.07247117997388092,0.20231537742708422,0.5395076731388913,,0.11560878710119099,0.34682636130357297,0.07470106243461572,0.1387305445214292,0.30347306614062636,0.34682636130357297,,0.044958972761574276,0.20231537742708422,0.30347306614062636,#Instances training dataset_AI:_1
22,22,,,,yes,Predictive Quality,,<150,>1000,,8,>500,Support Vector Machine,no,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882","0,05882",,,,,0.11938647914145692,0.14923309892682113,,0.44769929678046344,3.5815943742437075,,0.3581594374243708,3.5815943742437075,0.1790797187121854,0.397954930471523,0.12791408479441813,,0.05345663245139862,0.14923309892682113,0.397954930471523,,0.08527605652961208,0.25582816958883625,0.055101451911441654,0.10233126783553449,0.22384964839023172,0.25582816958883625,,0.03316291087262692,0.14923309892682113,0.22384964839023172,Ratio training to test dataset_AI:_1
23,23,,,,yes,Predictive Quality,,<600,,,8,<6000,XGBoost,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",yes,"[continuous, discrete, nominal]",,Tabular Data,Sensor System Production,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.13393950036900698,0.1674243754612587,,2.0090925055351048,,,0.40181850110702094,4.0181850110702095,0.5022731263837762,0.36528954646092815,0.14350660753822175,,0.0599729106129882,0.1674243754612587,0.17470369613348735,,0.09567107169214784,2.0090925055351048,0.6696975018450348,,0.2511365631918881,,,0.0372054167691686,0.1674243754612587,0.2511365631918881,Dataset balance_AI:_1
24,24,,,,yes,Predictive Quality,,<600,,,8,<7000,Random Forest,yes,yes,,"[4, 5, 6, 7, 8, 9, 10]",no,[continuous],,Tabular Data,Sensor System Production,<1000,,imbalanced,,,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,"0,50000",,,"0,50000",,,,,,0.13290376271822082,0.16612970339777602,,1.9935564407733126,,,0.39871128815466256,3.9871128815466252,0.2847937772533303,0.36246480741332954,0.14239688862666516,,0.05950914748577052,0.043814427269743134,0.12459727754833204,,0.09493125908444344,1.9935564407733126,0.6645188135911041,,0.24919455509666408,,,0.03691771186617245,0.16612970339777602,0.24919455509666408,Ratio positive to negative targets_AI:_1
25,25,,,low,,Predictive Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,,,,,,2.1052631578947367,,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,Noise in dataset_AI:_1
26,26,,,medium:high,,Predictive Maintenance,,,,<10,,,,,,,,,,,,,,,,,,,,,,"0,50000",,"0,25000","0,25000",,,,,,,,,,,,,,,,,0.2559292868386161,,0.11516817907737725,,,,2.303363581547545,,,,,,,,,,,,,,,,,,,,,Training Technique_AI:_1
27,27,,,medium:high,,Predictive Maintenance,,,,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,0.2559292868386161,,0.11516817907737725,,,,2.303363581547545,,,,,,,,,,,,,,,,,,,,,ML Task_AI:_1
28,28,,,medium:high,yes,Predictive Maintenance,,,,10:100,,,,,,,,,,,,,,,,,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,,,,2.4967428640002822,0.7490228592000846,1.123534288800127,,,,3.2100979680003627,,,,,,,,,,,,,,,,,,,,,Detailed ML task_AI:_1
29,29,,,medium:high,no,Predictive Maintenance,,>200,,10:100,,,,,,,,,,,,,,,,,,,,,,"0,50000",,"0,25000","0,25000",,,,,,,,,,,,,,,,,0.30244125196754745,0.11341546948783031,0.1360985633853964,,2.7219712677079273,,0.3888530382439896,,,,,,,,,,,,,,,,,,,,,
30,30,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,>10,yes,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,2.642685109653757,0.9910069161201589,1.1892082993441908,,2.9730207483604767,,3.3977379981262588,,,,,,,0.9513666394753526,0.9910069161201589,,,,,,,,,,,,,
31,31,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,>10,no,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,2.3638755883543094,0.886453345632866,1.0637440147594392,,2.659360036898598,,3.0392686135983977,,,,,,,0.8509952118075514,0.23378989335372294,,,,,,,,,,,,,
32,32,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,[continuous],,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,1.9294400725059746,0.7235400271897405,0.8682480326276887,,2.1706200815692216,,2.480708664650539,,,,,,,3.4729921305107547,,0.5426550203923054,,,,,,,,,,,,
33,33,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,,0.7662691238314296,0.28735092143678614,0.3448211057241434,,0.8620527643103584,,0.9852031592118381,,,,,,,1.3792844228965735,0.07578485840091063,3.4482110572414335,,,,,,,,,,,,
34,34,,,medium:high,no,Predictive Maintenance,,<200,,10:100,,,,,,,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",yes,,,,,,,,,,,,,,,,,,,,"1,00000",,,,,,,,,,,,,,1.9878827784144117,0.7454560419054044,0.8945472502864854,,2.2363681257162136,,2.555849286532815,,,,,,,3.5781890011459416,0.7454560419054044,,,,,,,,,,,,,
35,35,,,,no,Predictive Maintenance,,,<40,,1,<40,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.13812954178359418,0.16575545014031304,,,3.3151090028062606,,0.06027470914193201,3.3151090028062606,0.23679350020044718,,,,0.049479238847854635,0.036429769261607264,0.6630218005612522,,0.0789311667334824,0.23679350020044718,0.051001676966250166,0.09471740008017887,0.2071943126753913,0.23679350020044718,,0.0306954537296876,0.13812954178359418,0.2071943126753913,
36,36,,,,no,Predictive Maintenance,,,40:700,,1,40:700,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,"0,25000",,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,,0.13812954178359418,0.16575545014031304,,,3.3151090028062606,,0.06027470914193201,3.3151090028062606,0.23679350020044718,,,,0.049479238847854635,0.036429769261607264,0.6630218005612522,,0.0789311667334824,0.23679350020044718,0.051001676966250166,0.09471740008017887,0.2071943126753913,0.23679350020044718,,0.0306954537296876,0.13812954178359418,0.2071943126753913,
37,37,,,,no,Predictive Maintenance,,,700:2000,,1,700:2000,Random Forest,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[discrete, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,"1,00000",,,,,,,,,,,,,,,,0.13812954178359418,0.16575545014031304,,,3.3151090028062606,,0.06027470914193201,3.3151090028062606,0.23679350020044718,,,,0.049479238847854635,0.036429769261607264,0.6630218005612522,,0.0789311667334824,0.23679350020044718,0.051001676966250166,0.09471740008017887,0.2071943126753913,0.23679350020044718,,0.0306954537296876,0.13812954178359418,0.2071943126753913,
38,38,,,,no,Predictive Maintenance,,,<1000,,1,<1000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.49865153647558724,0.5983818437707047,,,2.9919092188535235,,0.21759339773480169,3.989212291804698,0.5983818437707047,,,,0.1786214459017029,0.13151249313641863,1.329737430601566,,0.28494373512890697,0.854831205386721,0.18411749039098607,0.3419324821546884,0.7479773047133809,0.854831205386721,,0.11081145255013049,0.49865153647558724,0.7479773047133809,
39,39,,,,no,Predictive Maintenance,,,1000:10000,,1,1000:10000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,,,,,,,,,,,,,,,,0.2853558941223002,0.3424270729467603,,,3.4242707294676027,,0.12451893561700372,3.4242707294676027,0.3424270729467603,,,,0.10221703670052545,0.07525869735093632,0.7609490509928005,,0.1630605109270287,0.48918153278108606,0.10536217629131085,0.19567261311243442,0.42803384118345034,0.48918153278108606,,0.0634124209160667,0.2853558941223002,0.42803384118345034,
40,40,,,,no,Predictive Maintenance,,,10000:70000,,1,10000:70000,Support Vector Machine,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, nominal]",,Tabular Data,APS Failure at Scania Trucks,1000:100000,1:4,imbalanced,"0,016949",,Offline,Binary Classification,Prediction of Part Failure,,,,,,,,"0,50000","0,50000",,,,,,,,,,,,,,0.1379901028393766,0.16558812340725193,,,3.3117624681450386,,0.060213863057182515,3.3117624681450386,0.16558812340725193,,,,0.04942929056932893,0.036392994155439985,0.36797360757167097,,0.07885148733678662,0.2365544620103599,0.05095019181761598,0.09462178480414396,0.2069851542590649,0.2365544620103599,,0.030664467297639244,0.1379901028393766,0.2069851542590649,
41,41,,,,no,Predictive Maintenance,,,<50,,1,<50,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.13056407093974093,0.15667688512768913,,,3.1335377025537827,,0.056973412773705136,3.1335377025537827,0.10108186137270266,,,,0.04676921944110123,0.03443448024784377,0.1362407696762514,,0.07460804053699482,0.7833844256384457,0.048208272346981274,0.08952964864439378,,,,0.029014237986609095,0.2089025135035855,0.7833844256384457,
42,42,,,,no,Predictive Maintenance,,,50:2000,,1,50:2000,Multilayer Perceptron,,,,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete, nominal]",,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,"0,25000",,,,,"0,25000","0,25000","0,25000",,,,,,,,,,,,,,0.13056407093974093,0.15667688512768913,,,3.1335377025537827,,0.056973412773705136,3.1335377025537827,0.10108186137270266,,,,0.04676921944110123,0.03443448024784377,0.1362407696762514,,0.07460804053699482,0.7833844256384457,0.048208272346981274,0.08952964864439378,,,,0.029014237986609095,0.2089025135035855,0.7833844256384457,
43,43,,,,no,Predictive Maintenance,,,<100,,1,<100,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,"1,00000",,,,,,,,,,,,,,,,,,,,,,0.41758318713686626,0.5010998245642396,,,3.34066549709493,,0.18221811802335983,1.670332748547465,0.5010998245642396,,,,0.4555452950583996,0.11013182957455815,0.3131873903526497,,0.2386189640782093,2.5054991228211976,0.15418456140438141,0.28634275689385114,,,,0.0927962638081925,0.668133099418986,2.5054991228211976,
44,44,,,,no,Predictive Maintenance,,,100:10000,,1,100:10000,Support Vector Machine,,,,"[1, 2, 3]",no,[continuous],,Tabular Data,Turbofan,1000:100000,1:4,,,,Offline,Regression,Prediction of Remaining Useful Lifetime,,,,,,,,"1,00000",,,,,,,,,,,,,,,0.1309890368134647,0.15718684417615766,,,3.143736883523153,,0.05715885242769369,3.143736883523153,0.15718684417615766,,,,0.14289713106923424,0.03454655915959509,0.09824177761009853,,0.07485087817912268,0.7859342208807882,0.04836518282343313,0.08982105381494722,,,,0.0291086748474366,0.20958245890154353,0.7859342208807882,
45,45,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25000","0,25000","0,25000",,,,,,,,"0,25000",,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,,,,,,,,,,,,>10,,,,,,,,,,,,,,,,,,,,"0,25000","0,25000",,,,,,"0,25000",,,"0,25000",,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,
47,47,,,,,,,,,,,,,,,,,yes,"[continuous, discrete, ordinal, nominal]",,,,,,,,,,,,,"0,16667","0,16667",,,,"0,16667","0,16667",,,,,,"0,16667",,,"0,16667",,,,,,,,,,,,,,,,,,,0.18181818181818182,2.181818181818182,,,,,,,,,,,,
48,48,,,,,,low,,,,,<86400,,,,,,,,,,,,,,,,,,,,"0,33333",,,,,,,,,,,,"0,33333",,,"0,33333",,,,,,,,0.07142857142857142,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,
49,49,,,,,Process Parameter Prediction,,,<200,,1,<200,XGBoost,,,no categorical features,"[4, 5, 6, 7, 8, 9, 10]",no,"[continuous, discrete]",,Tabular Data,Blisk Milling (Florian Schlaich),>100000,1:4,,,,Offline,Regression,Time Series Prediction,"1,00000",,,,,,,,,,,,,,,,,,,,,,,0.45914104036864384,,,3.213987282580507,,0.05843613241055467,3.213987282580507,0.40174841032256337,,,0.45914104036864384,0.04796995944150011,0.03531854156681876,0.0765235067281073,,0.0765235067281073,0.45914104036864384,0.45914104036864384,0.09182820807372877,,,,0.029759141505375064,0.21426581883870047,0.45914104036864384,
