;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;;;;;
19;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;Image Recognition;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;Regression;;;;20;0,5;;;0,5;;;;;;;;;;;;SAS institute cheatsheet;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>86400;;;;;;;;;;;;;;;;;Regression;;;;21;;0,17;;;;;;0,17;0,17;0,17;0,17;0,17;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;22;;0,14;;;;0,14;;0,14;0,14;0,14;0,14;0,14;;;;;;;;;;;;;;;
23;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;23;0,5;;;;0,5;;;;;;;;;;;;;;;;;;;;;;
24;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;;;;;>100000;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;24;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;
25;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:86400;;;;;<100000;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;;;25;;;;;;0,5;0,50;;;;;;;;;;;;;;;;;;;;
26;;low;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:172800;;;;;;;;;;;;;;;;;;;;;26;;;;0,5000;0,5000;;;;;;;;;;;Kaggle;;;;;;;;;;;
27;;low;;[low, medium];;;;yes;;yes;;;;;;;;;;;;;[Predictive Maintenance, Predictive Quality, Process Parameter Prediction];;;;;;;;;1.0:172800;;;;;;;;;;;;;;;;;[Classification, Regression];;;;27;0,2000;0,2000;;0,2000;0,2000;;;0,2000;;;;;;;;;;;;;;;;;;;
28;;;;high;;no;;no;;no;;no;;;;;;;;;;;Predictive Quality;;;;;;;;;>86400;;;Image data;;1000.0:100000;;1.0:4;;;;<10;;;;;;Multiclass Classification;;Object Detection;;28;;;;;;;;;;;1,0000;;;;;Severstal: Steel Defect Detection;;;;;;;;;;;
29;;;;high;;no;;no;;no;;no;;;;;;;;;;;Predictive Quality;;;;;;;;;>86400;;;Tabular data;;>100000;;;;[continuous, discrete, nominal, timestamp];;>1000;;;;;;Binary Classification;;Part Failure;;29;;;;;;;;1,0000;;;;;;;;Bosch Production Line Performance;;;;;;;;;;;
30;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;0,3333;0,3333;0,3333;;;;;;PN Expert;;;;;;;;;;;
31;;;;[low, medium];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;0,3333;;0,3333;;;;0,3333;;;;;;;;;;;;;;;;;;;
32;;;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;0,1667;0,1667;0,1667;0,1667;0,1667;;;;;;;;;;;;;;;
33;;;;[low, medium];;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[Binary Classification, Multiclass Classification];;Image Regocnition;;34;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;Process Parameter Prediction;;;;;;;;;;;;;;;;;;;;;;;;;;Regression;;Time Series Prediction;;35;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Regression;;Time Series Prediction;;36;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
37;;;;medium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;0,1111;0,1111;0,1111;0,1111;0,1111;0,1111;0,1111;0,1111;0,1111;;;;;;;;;all algorithms that can be implemented with scikit-learn;;;;;;;;;
38;;;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;0,3333;0,3333;0,3333;;;;;;all algorithms that require more sophisticated ML systems like pytorch or tensor-flow;;;;;;;;;
39;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;0,25;;0,25;0,25;0,25;;;;;;;;;;;KEL ;;Transparency;;;;;;;;;
40;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;0,25;;0,25;0,25;0,25;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
42;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;0,2;0,07;0,1;0,2;0,1;0,07;0,2;0,07;;;;;;;;;;;;;;;;;;;
43;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;0,35;;0,25;0,15;0,05;0,05;0,15;;;;;;;;;;;;;;;;;;;;
46;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;0,5;;;;;;0,5;;;;;;;;;;Robustness;;;;;;;;;
47;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;0,25;0,25;0,25;;;;;0,25;;;;;;;;;;;;;;;;;;
48;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;0,75;;;0,25;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;0,5;0,5;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;0,111111111;0,111111111;0,111111111;0,111111111;0,111111111;0,111111111;0,111111111;;0,111111111;;;;;;;;;scikit w/ default values;;;;;;;;;
51;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;0,125;0,125;0,125;0,125;0,125;0,125;0,125;;0,125;;;;;;;;;;;;;;;;;;
52;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;0,2;0,2;;0,2;0,2;0,2;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;53;;;;;;;1;;;;;;;;;;;no time;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;54;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;55;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;0,111;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;1.0:172800;;;;;;;;;;;;;;;;;;;;;56;;0,25;;;;0,25;0,25;0,25;;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is possible and only LOW-MEDIUM time resources (TCT < 48h on 1 worker) are available?   ;;;;;;;;;
57;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;1.0:172800;;;;;;;;;;;;;;;;;;;;;57;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0;0,090909091;0,090909091;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;1.0:172800;;;;;;;;;;;;;;;;;;;;;58;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;59;;0,333333333;;;;;;0,333333333;0,333333333;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is possible and MEDIUM to LARGE time resources (TCT > 2h on 1 worker) are available?   ;;;;;;;;;
60;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;60;;;;;;0,5;;;;0,5;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;61;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;yes;;yes;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;62;;;;;;0,25;;0,25;;0,25;0,25;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;63;0,2;0,2;0,2;0,2;0,2;;;;;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is NOT possible and only LITTLE time resources (TCT < 2h on 1 worker) are available?   ;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;64;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;65;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;66;;0,333333333;;;;;;0,333333333;0,333333333;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is NOT possible and MEDIUM to LARGE time resources (TCT > 2h on 1 worker) are available?   ;;;;;;;;;
67;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;67;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;68;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;69;;0,333333333;;;;;0,33;;0,33;;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;1,0000;;;;;;;Image data;;;;;;;;;
71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;74;;;;;;;;;;0,5000;0,5000;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;77;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;;0,0909;;;;;;Tabular data;;;;;;;;;
78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;78;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;79;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;;0,0909;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;timestamp;;;;;;;;;;Time Series Prediction;;80;;;;;;;;;;;0,5;0,5;;;;KEL new rules;;;;;;;;;;;
81;;low;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;81;0,166666667;;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;;;;;;;;;;;;;;;;;;;;
82;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;82;;;;;;;;1;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Series Prediction;;83;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Series Prediction;;84;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
85;;high;;medium;;no;;;;;;yes;;;;Windows;;;;yes;;;yes;;;;;>200;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Regression;;Time Series Prediction;;85;0,25;0,25;;;;;;0,25;;;;0,25;;;;;;;;;;;;;;;
86;;low;;medium;;no;;;;;;yes;;;;Windows;;;;yes;;;yes;;;;;;;;;7200.0:172800;;;Tabular data;;1000.0:10000;;2.0:9;;[continuous, discrete, nominal];;<100;;no;;;;Binary Classification;;Time Series Prediction;;86;;0,3;;;0,3;;;0,3;;;;;;;;;;;;;;;;;;;
87;;low;;medium;;no;;;;;;yes;;;;Windows;;;;yes;;;yes;;;;;;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Multiclass Classification;;;;87;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
88;;high;;medium;;no;;;;;;yes;;;;linux;;;;yes;;;yes;;;;;;;;;7200.0:172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Multiclass Classification;;;;88;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
89;;high;;medium;;no;;;;;;no;;;;Windows;;;;yes;;;yes;;;;;>200;;;;7200.0:172800;;;Tabular data;;1000.0:10000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Binary Classification;;;;89;0,14;0,14;0,14;;0,14;0,14;;0,14;0,14;;;;;;;;;;;;;;;;;;
90;;high;;high;;no;;;;;;yes;;;;Linux;;;;yes;;;yes;;;;;>200;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Regression;;Time Series Prediction;;90;;0,33;;;;0,33;;0,33;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Regression;;;;92;;;;;-100,00;;-100,00;;;;;;;;;Knock-out rules;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Binary Classification;;;;93;;;;-100,00;;;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Multiclass Classification;;;;94;;;;-100,00;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
