;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;A;A_I;;D;D;D;D;D;D;D;D;D;D;D;D;X;;;;;;;;;;;;;;
19;;high;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;19;;;;;;;;1,0000;;;;;;;;;;;;;;;;;;;
20;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;Image Recognition;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0:43200;;;;;;;;;;;;;;;;;Regression;;;;21;0,5;;;0,5;;;;;;;;;;;;SAS institute cheatsheet;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>43200;;;;;;;;;;;;;;;;;Regression;;;;22;;0,17;;;;;;0,17;0,17;0,17;0,17;0,17;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;23;;0,14;;;;0,14;;0,14;0,14;0,14;0,14;0,14;;;;;;;;;;;;;;;
24;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;1.0:43200;;;;;;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;24;0,5;;;;0,5;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;1.0:43200;;;;;>100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;25;;;;;;;1,00;;;;;;;;;;;;;;;;;;;;
26;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;1.0:43200;;;;;<100000;;;;;;;;;;;;{'Binary Classification':1.0, 'Multiclass Classification':1.0};;;;26;;;;;;0,5;0,50;;;;;;;;;;;;;;;;;;;;
28;;low;;{'low':1.0, 'medium':1.0};;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;0,2000;0,2000;;0,2000;0,2000;;;0,2000;;;;;;;;;;;;;;;;;;;
29;;;;high;;no;;no;;no;;no;;;;;;;;;Predictive Quality;;;;;;;;;>43200;;;Image data;;1000.0:100000;;1.0:4;;;;<10;;;;;;Multiclass Classification;;Object Detection;;29;;;;;;;;;;;1,0000;;;;;Severstal: Steel Defect Detection;;;;;;;;;;;
30;;;;high;;no;;no;;no;;no;;;;;;;;;Predictive Quality;;;;;;;;;>43200;;;Tabular data;;>100000;;;;[continuous, discrete, nominal, timestamp];;>1000;;;;;;Binary Classification;;Part Failure;;30;;;;;;;;1,0000;;;;;;;;Bosch Production Line Performance;;;;;;;;;;;
31;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;0,25;;0,25;0,25;0,25;;;;;;;;;;;KEL ;;Transparency;;;;;;;;;
32;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;0,25;;0,25;0,25;0,25;;;;;;;;;;;;;;;;;;;;;;
33;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;0,2;0,07;0,1;0,2;0,1;0,07;0,2;0,07;;;;;;;;;;;;;;;;;;;
35;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;0,333333333;;0,333333333;0,333333333;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;0,35;;0,25;0,15;0,05;0,05;0,15;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;0,5;;;;;;0,5000;;;;;;;;;;Robustness;;;;;;;;;
39;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;0,2500;0,2500;0,2500;;;;;0,2500;;;;;;;;;;;;;;;;;;
40;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;0,7500;;;0,2500;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;0,5;0,50;;;;;;;;;;;;;;;;;;;;;;;;
42;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;0,111111111;0,111111111;0,111111111;0,111111111;0,111111111;0,1111;0,1111;;0,1111;;;;;;;;;scikit w/ default values;;;;;;;;;
43;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;;0,1250;;;;;;;;;;;;;;;;;;
44;;;;low;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;0,2000;0,2000;;0,2000;0,2000;0,2000;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;45;;;;;;;1;;;;;;;;;;;no time;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;46;;0,5;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;47;0,1110;0,1110;0,1110;0,1110;0,1110;0,1110;0,1110;0,1110;0,1110;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;1.0:172800;;;;;;;;;;;;;;;;;;;;;48;;0,2500;;;;0,2500;0,2500;0,2500;;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is possible and only LOW-MEDIUM time resources (TCT < 48h on 1 worker) are available?   ;;;;;;;;;
49;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;1.0:172800;;;;;;;;;;;;;;;;;;;;;49;0,0909;0,090909091;0,09;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;0,090909091;;;0,0909;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;1.0:172800;;;;;;;;;;;;;;;;;;;;;50;;0,5;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;>7200;;;;;;;;;;;;;;;;;;;;;51;;0,3333;;;;;;0,3333;0,3333;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is possible and MEDIUM to LARGE time resources (TCT > 2h on 1 worker) are available?   ;;;;;;;;;
52;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;>7200;;;;;;;;;;;;;;;;;;;;;52;;;;;;0,5000;;;;0,5000;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;>7200;;;;;;;;;;;;;;;;;;;;;53;0,0833;0,083333333;0,08;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0;0;0,0833;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;>1;;>7200;;;;;;;;;;;;;;;;;;;;;54;;;;;;0,25;;0,25;;0,25;0,25;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;55;0,2;0,2;0,2;0,2;0,2;;;;;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is NOT possible and only LITTLE time resources (TCT < 2h on 1 worker) are available?   ;;;;;;;;;
56;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;56;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;1.0:7200;;;;;;;;;;;;;;;;;;;;;57;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;0,1250;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;58;;0,333333333;;;;;;0,333333333;0,333333333;;;;;;;;;... if HIGH PERFORMANCE COMPUTING is NOT possible and MEDIUM to LARGE time resources (TCT > 2h on 1 worker) are available?   ;;;;;;;;;
59;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;59;;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;60;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;no;;;;;;;;;;;;>7200;;;;;;;;;;;;;;;;;;;;;61;;0,333333333;;;;;0,33;;0,33;;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;62;;;;;;;;;;;1,0000;;;;;;;Image data;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;64;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;66;;;;;;;;;;0,5000;0,5000;;;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;67;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Image data;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;69;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;;0,0909;;;;;;Tabular data;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;70;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;71;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;0,0909;;0,0909;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;timestamp;;;;;;;;;;Time Series Prediction;;72;;;;;;;;;;;0,5;0,5;;;;KEL new rules;;;;;;;;;;;
73;;low;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;73;0,166666667;;0,166666667;0,166666667;0,166666667;0,166666667;0,166666667;;;;;;;;;;;;;;;;;;;;
74;;high;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tabular data;;;;;;;;;;;;;;;;;;74;;;;;;;;1;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Series Prediction;;75;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Time Series Prediction;;76;;;;;;;;;;;;1,0000;;;;;;;;;;;;;;;
77;;high;;medium;;no;;;;;;yes;;;;Windows;;yes;;;;;;;;>200;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Regression;;Time Series Prediction;;77;0,25;0,25;;;;;;0,25;;;;0,25;;;;;;;;;;;;;;;
78;;low;;medium;;no;;;;;;yes;;;;Windows;;yes;;;;;;;;;;;;7200.0:172800;;;Tabular data;;1000.0:10000;;2.0:9;;[continuous, discrete, nominal];;<100;;no;;;;Binary Classification;;Time Series Prediction;;78;;0,3;;;0,3;;;0,3;;;;;;;;;;;;;;;;;;;
79;;low;;medium;;no;;;;;;yes;;;;Windows;;yes;;;;;;;;;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Multiclass Classification;;;;79;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
80;;high;;medium;;no;;;;;;yes;;;;linux;;yes;;;;;;;;;;;;7200.0:172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Multiclass Classification;;;;80;;0,5;;;;;;0,5;;;;;;;;;;;;;;;;;;;
81;;high;;medium;;no;;;;;;no;;;;Windows;;yes;;;;;;;;>200;;;;7200.0:172800;;;Tabular data;;1000.0:10000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Binary Classification;;;;81;0,14;0,14;0,14;;0,14;0,14;;0,14;0,14;;;;;;;;;;;;;;;;;;
82;;high;;high;;no;;;;;;yes;;;;Linux;;yes;;;;;;;;>200;;;;>172800;;;Tabular data;;>1000000;;2.0:9;;[continuous, discrete, nominal];;<100;;yes;;;;Regression;;Time Series Prediction;;82;;0,33;;;;0,33;;0,33;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;Default values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83;;0,5000;;;;;;0,5000;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Regression;;;;84;;;;;-100;;-100;;;;;;;;;Knock-out rules;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Binary Classification;;;;85;;;;-100;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Multiclass Classification;;;;86;;;;-100;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;must;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;-100;;;;-100;-100;-100;-100;-100;-100;-100;;;;;;transparency;;;;;;;;;
88;;;;;;;;;;;;must;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;;;;;;;;;-100;-100;-100;;;;;;well documented library;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
