,rule_id,rule_weight,A_UR: quality demands,A_UR: computational efficiency of the HPO technique,A_User's programming ability,A_Access to parallel computing,A_Production use case,A_Time Resources,A_Number of maximum function evaluations/ trials budget,A_Cummulative Budget,A_Wall Clock Time [s],A_Running time per trial [s],A_Machine Learning Algorithm,A_Obtainability of good approximate,A_Supports parallel evaluations,A_Usage of one-hot encoding for cat. features,A_Dimensionality of HPs,A_Conditional HP space,A_#continuous HPs of ML alg.,A_Obtainability of gradients,A_Dataset (name),A_Number of instances in dataset,A_Artificial noise in dataset,A_Surrogate benchmarking,A_Validation,A_ML task,D_Default Values,D_Random Search,D_Grid Search,D_SMAC,D_TPE,D_BO-GP BO,D_BO-Fabolas,D_BO-Spearmint GP,D_BO-MTBO,D_BO-BOHAMIANN,D_HP-LCNet,D_HB-Hyperband,D_BOHB,D_Population based,D_Gradient based,D_Approximation based
55,56,,,,,,,,,,,,Simple Neural Net,,,yes,14,yes,>=1,,mrbi (mnist-rot-back-image) (Larochelle2007),,,,"k = 5
k-fold CV",Image Recognition,,,,1.00000,,,,,,,,,,,,
56,57,,,,,,,,<5,,,,Deep Neural Net,,,yes,36,yes,>=1,,convex (Larochelle2007),,,,"k = 1
(no CV)",Image Recognition,,,,,0.50000,,,0.50000,,,,,,,,
57,58,,,,,,,,2:50,,,,Deep Neural Net,,,yes,36,yes,>=1,,convex (Larochelle2007),,,,"k = 1
(no CV)",Image Recognition,,,,0.50000,0.50000,,,,,,,,,,,
58,59,,,,,,,,50:200,,,,Deep Neural Net,,,yes,36,yes,>=1,,convex (Larochelle2007),,,,"k = 1
(no CV)",Image Recognition,,,,0.33333,0.33333,,,0.33333,,,,,,,,
59,60,,,,,,,,<10,,,,Deep Neural Net,,,yes,36,yes,>=1,,mrbi (mnist-rot-back-image) (Larochelle2007),,,,"k = 1
(no CV)",Image Recognition,,,,0.33333,0.33333,,,0.33333,,,,,,,,
60,61,,,,,,,,10:200,,,,Deep Neural Net,,,yes,36,yes,>=1,,mrbi (mnist-rot-back-image) (Larochelle2007),,,,"k = 1
(no CV)",Image Recognition,,,,0.50000,0.50000,,,,,,,,,,,
61,62,,,,,,,,,,<10,,,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,,0.33333,,,,,0.33333,0.33333,,,
62,63,,,,,,,,,,10:40,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,,1.00000,,,,,,,,,
63,64,,,,,,,,,,40:100,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,,0.50000,,,,,0.50000,,,,
64,65,,,,,,,,,,100:400,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,,0.33333,,,,,0.33333,0.33333,,,
65,66,,,,,,,,,,400:50000,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,,0.25000,,0.25000,,,0.25000,0.25000,,,
66,67,,,,,,,,,,50000:500000,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,,,,,,0.20000,0.20000,,0.20000,,,0.20000,0.20000,,,
67,68,,,,,,,,,,>500000,,SVM w/ RBF kernel,,,,2,no,>=1,,mnist surrogate (Klein2017),,,yes,n = 10 runs on entire dataset,Image Recognition,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250,0.06250
68,69,,,,,,,,,,<4000,,Feed Forward Neural Net,,,,6,no,>=1,,Adult (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,0.33333,0.33333,0.33333,,,
69,70,,,,,,,,,,4000:100000,,Feed Forward Neural Net,,,,6,no,>=1,,,,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,,,1.00000,,,
70,71,,,,,,,,,,<10000,,Feed Forward Neural Net,,,,6,no,>=1,,Higgs (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,0.33333,0.33333,0.33333,,,
71,72,,,,,,,,,,10000:100000,,Feed Forward Neural Net,,,,6,no,>=1,,Higgs (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,,,1.00000,,,
72,73,,,,,,,,,,<100,,Feed Forward Neural Net,,,,6,no,>=1,,Letter (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,,,,,,,0.33333,0.33333,0.33333,,,
73,74,,,,,,,,,,100:2000,,Feed Forward Neural Net,,,,6,no,>=1,,Letter (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,,,,,,,,,1.00000,,,
74,75,,,,,,,,,,2000:20000,,Feed Forward Neural Net,,,,6,no,>=1,,Letter (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,,0.50000,,,,,,,0.50000,,,
75,76,,,,,,,,,,20000:40000,,Feed Forward Neural Net,,,,6,no,>=1,,Letter (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,0.33333,0.33333,,,,,,,0.33333,,,
76,77,,,,,,,,,,,,Feed Forward Neural Net,,,,6,no,>=1,,MNIST (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,,,,,,,,0.50000,0.50000,,,
77,78,,,,,,,,,,4000:100000,,Feed Forward Neural Net,,,,6,no,>=1,,MNIST (OpenML),,,yes,n = 256 runs on entire dataset,Image Recognition,,,,,0.33333,0.33333,,,,,,,0.33333,,,
78,79,,,,,,,,,,<1000,,Feed Forward Neural Net,,,,6,no,>=1,,Optdigits (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,0.33333,0.33333,0.33333,,,
79,80,,,,,,,,,,1000:10000,,Feed Forward Neural Net,,,,6,no,>=1,,,,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,,,1.00000,,,
80,81,,,,,,,,,,<1000,,Feed Forward Neural Net,,,,6,no,>=1,,Poker (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,0.33000,0.33000,0.33000,,,
81,82,,,,,,,,,,1000:100000,,Feed Forward Neural Net,,,,6,no,>=1,,Poker (OpenML),,,yes,n = 256 runs on entire dataset,Classification,,,,,,,,,,,,,1.00000,,,
82,83,,,,,,,,<100,,,,SVM w/ RBF kernel,,,,2,no,0,,16 OpenML classification datasets,,no,yes,,Classification,,,,,,1.00000,,,,,,,,,,
83,84,,,,,,,,<40,,,,SVM w/ RBF kernel,,,,2,no,0,,16 OpenML classification datasets,,yes,yes,,Classification,,,,,,1.00000,,,,,,,,,,
84,85,,,,,,,,40:100,,,,SVM w/ RBF kernel,,,,2,no,0,,16 OpenML classification datasets,,yes,yes,,Classification,,,,,,,,,,1.00000,,,,,,
85,86,,,,,,,,<50,,,,2-Layer FC Net,,,,6,no,>=1,,16 OpenML classification datasets,,no,yes,,Classification,,,,,,,,,,1.00000,,,,,,
86,87,,,,,,,,50:100,,,,2-Layer FC Net,,,,6,no,>=1,,16 OpenML classification datasets,,no,yes,,Classification,,,,,,1.00000,,,,,,,,,,
87,88,,,,,,,,<100,,,,2-Layer FC Net,,,,6,no,>=1,,16 OpenML classification datasets,,yes,yes,,Classification,,,,,,,,,,1.00000,,,,,,
88,89,,,,,,,,<30,,,,XGBoost,,,,8,no,>=1,,10 UCI Regression datasets,,no,yes,,Regression,,,,,,,,,,1.00000,,,,,,
89,90,,,,,,,,30:100,,,,XGBoost,,,,8,no,>=1,,10 UCI Regression datasets,,no,yes,,Regression,,,,,,1.00000,,,,,,,,,,
90,91,,,,,,,,<30,,,,XGBoost,,,,8,no,>=1,,10 UCI Regression datasets,,yes,yes,,Regression,,,,,,,,,,1.00000,,,,,,
91,92,,,,,,,,30:100,,,,XGBoost,,,,8,no,>=1,,10 UCI Regression datasets,,yes,yes,,Regression,,,,,,1.00000,,,,,,,,,,
